;Прайс-лист;;;;;;;;
;;;;;;;;;
;УрАА ООО;;;;;;;;
;;;;;;;;;
;В валютах цен.;;;;;;;;
;Цены указаны на 24.11.2022;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Ценовая группа/ Номенклатура;Остаток;Номенклатура.Код;Номенклатура.Артикул;Номенклатура.Бренд;Интернет;;Основная цена продажи;
;;;;;;Цена;Ед.;Цена;Ед.
;;;;;;;;;
;АВТОМАГНАТ, БелАК;;;;;;;;
;Вакуумный усилитель 53-12-3550010 ГАЗ-53, -3307 (АМ) AM-03-011;1,000;Ф4625;AM-03-011;АВТОМАГНАТ;4 782,00 руб.;шт.;4 347,00 руб.;шт.
;Вакуумный усилитель Газель Next 204798191 (без ГТЦ)  (аналог: A23-3510009) AM-03-006;4,000;Ф4750;AM-03-006;АВТОМАГНАТ;3 629,00 руб.;шт.;3 391,00 руб.;шт.
;Вентилятор отопителя 010-В70-74D 24V;;Ф4816;;;;;;
;Втулка насоса ГУР 256Б-3407199-01;43,000;Ф0558;256Б-3407199-01;Китай;237,00 руб.;шт;221,00 руб.;шт
;Выключатель сигн.торможения ВК-412 Autotec (М12*1,5) АТ-02-66-6201 /Кат.№2108-3720010/;;Ф0050;;;70,00 руб.;шт;65,00 руб.;шт
;Гайковерт 2-х скоростной с удлинителем с гол. 32*33 БАК.00118;4,000;Ф3303;БАК.00118;БелАК;3 850,00 руб.;шт.;3 598,00 руб.;шт.
;Гайковерт 32*33 LW - 012 АВТОМАГНАТ AM-06-002;;Ф4812;AM-06-002;АВТОМАГНАТ;2 269,00 руб.;шт;2 120,00 руб.;шт
;Гайковерт 32*33 LW - 012 БАК.00017;21,000;Ф1122;БАК.00017;БелАК;2 779,00 руб.;шт;2 597,00 руб.;шт
;Гайковерт 32*33 LW - 013 (удлин.)  АВТОМАГНАТ AM-06-003;;Ф4813;AM-06-003;АВТОМАГНАТ;2 383,00 руб.;шт.;2 227,00 руб.;шт.
;Гайковерт 32*33 LW - 013 (удлин.)  БАК.00018;8,000;Ф1123;БАК.00018;БелАК;2 852,00 руб.;шт;2 665,00 руб.;шт
;Гайковерт 32*33 в кейсе на подшипниках  (удлин.) МАРК;3,000;Ф5639;;МАРК;2 988,00 руб.;шт.;2 792,00 руб.;шт.
;Гайковерт БЕЗ ГОЛОВОК  2-х скоростной с удлинителем БАК.10118;10,000;Ф2946;БАК.10118;БелАК;3 524,00 руб.;шт.;3 293,00 руб.;шт.
;Гайковерт БЕЗ ГОЛОВОК  БАК.10017;11,000;Ф3027;БАК.10017;БелАК;2 366,00 руб.;шт.;2 211,00 руб.;шт.
;Гайковерт БЕЗ ГОЛОВОК с удлинителем БАК.10018;3,000;Ф4334;БАК.10018;БелАК;2 428,00 руб.;шт.;2 269,00 руб.;шт.
;"Гайковерт для легковых а/м, ""БелАК"" с головками (17*19*21) БАК.11017";1,000;Ф5427;БАК.11017;БелАК;3 448,00 руб.;шт.;3 222,00 руб.;шт.
;Гайковерт удлинитель (25 мм) L=105 мм БАК.01880;;Ф3047;БАК.01880;БелАК;392,00 руб.;шт.;366,00 руб.;шт.
;Гайковерт универ-ый ударного действия (12v) от прикур. со смен. головками 17,19,21,23,мм  в кейсе;;Ф3262;F4-02D;;1 745,00 руб.;шт.;1 630,00 руб.;шт.
;Головка для гайковерта   24мм (БАК.01824);14,000;Ф2947;БАК.01824;БелАК;253,00 руб.;шт.;236,00 руб.;шт.
;Головка для гайковерта   27мм (БАК.01827);3,000;Ф2948;БАК.01827;БелАК;256,00 руб.;шт.;239,00 руб.;шт.
;Головка для гайковерта   30мм (БАК.01830);17,000;Ф2949;БАК.01830;БелАК;256,00 руб.;шт.;239,00 руб.;шт.
;Головка для гайковерта   32мм (БАК.01832);21,000;Ф2950;БАК.01832;БелАК;256,00 руб.;шт.;239,00 руб.;шт.
;Головка для гайковерта   33мм (БАК.01833);;Ф2951;БАК.01833;БелАК;256,00 руб.;шт.;239,00 руб.;шт.
;Головка для гайковерта   34мм (БАК.01834);17,000;Ф2952;БАК.01834;БелАК;256,00 руб.;шт.;239,00 руб.;шт.
;Головка для гайковерта   36мм (БАК.01836);13,000;Ф2954;БАК.01836;БелАК;265,00 руб.;шт.;247,00 руб.;шт.
;Головка для гайковерта   38мм (БАК.01838);12,000;Ф2953;БАК.01838;БелАК;268,00 руб.;шт.;250,00 руб.;шт.
;Головка для гайковерта   41мм (БАК.01841);9,000;Ф2955;БАК.01841;БелАК;271,00 руб.;шт.;253,00 руб.;шт.
;Головка для гайковерта   46мм (БАК.01846);3,000;Ф3046;БАК.01846;БелАК;569,00 руб.;шт.;531,00 руб.;шт.
;Головка для гайковерта  50мм (БАК.01850);4,000;Ф4275;БАК.01850;БелАК;668,00 руб.;шт.;624,00 руб.;шт.
;Головка для гайковерта  55мм (БАК.01855);4,000;Ф4276;БАК.01855;БелАК;771,00 руб.;шт.;720,00 руб.;шт.
;Головка для гайковерта  60мм (БАК.01860);14,000;Ф4277;БАК.01860;БелАК;954,00 руб.;шт.;891,00 руб.;шт.
;Зеркало  (V2) 185*185 БАК.00064;14,000;Ф1720;БАК.00064;БелАК;251,00 руб.;шт.;234,00 руб.;шт.
;Зеркало  (V4) 300*180 с подогревом 5061Н БАК.00067;28,000;Ф1755;БАК.00067;БелАК;399,00 руб.;шт.;372,00 руб.;шт.
;Зеркало  (V6)  360*180 с подогревом 5031Н БАК.00066 (БелАК);15,000;Ф1756;БАК.00066;БелАК;453,00 руб.;шт.;423,00 руб.;шт.
;Зеркало  (V8) 425*190 с подогревом 5039Н БАК.00065 (БелАК);15,000;Ф1757;БАК.00065;БелАК;575,00 руб.;шт.;537,00 руб.;шт.
;Зеркало (V2) 185*185 с подогревом 5070Н БАК.00069 (БелАК);50,000;Ф1754;БАК.00069;БелАК;386,00 руб.;шт.;360,00 руб.;шт.
;Зеркало LL - 195 (V3) 210*180 БАК.00063 (БелАК);32,000;Ф1410;БАК.00063;БелАК;256,00 руб.;шт.;239,00 руб.;шт.
;Зеркало LL -005 (V8) 425*190 Камаз евро 5039 БАК.00060;34,000;Ф1016;БАК.00060;БелАК;415,00 руб.;шт.;387,00 руб.;шт.
;Зеркало LL -006 (V6) 360*180 Камаз, Зил-5301 БАК.00061;59,000;Ф1017;БАК.00061;БелАК;346,00 руб.;шт.;323,00 руб.;шт.
;Зеркало LL -007 (V4) 300*180 Валдай, Паз БАК.00062;55,000;Ф1018;БАК.00062;БелАК;283,00 руб.;шт.;264,00 руб.;шт.
;Картридж фильтра для мини ТРК АТЛАНТ БелАК БАК.12079;3,000;Ф7087;БАК.12079;БелАК;1 082,00 руб.;шт.;1 011,00 руб.;шт.
;Клавиша стеклоподъемн. 31105,3110,ВАЗ 12v,7конт. Autotec АТ02-88-6201 /Кат.№77.3709-02.01/;;Ф0052;;;85,00 руб.;шт;79,00 руб.;шт
;Ключ баллонный усил. 24*27 цинк Автомагнат AM-54-001;7,000;Ф4446;AM-54-001;АВТОМАГНАТ;522,00 руб.;шт.;487,00 руб.;шт.
;Ключ баллонный усил. 32*38 на 4310 ИП-578 цинк Автомагнат AM-54-003;7,000;Ф4447;AM-54-003;АВТОМАГНАТ;1 072,00 руб.;шт.;974,00 руб.;шт.
;Ключ баллонный усиленный 30 х 32 Евро (ЦИНК) Автомагнат AM-54-002;8,000;Ф4453;AM-54-002;АВТОМАГНАТ;744,00 руб.;шт.;695,00 руб.;шт.
;КОМ 503-4202010  (коробка отбора мощности) без НШ МАЗ AM-16-001;2,000;Ф4264;AM-16-001;АВТОМАГНАТ;6 877,00 руб.;шт.;5 980,00 руб.;шт.
;КОМ 5511-4202010-20  (коробка отбора мощности) без НШ КАМАЗ (АМ) AM-16-002;2,000;Ф4263;AM-16-002;АВТОМАГНАТ;6 781,00 руб.;шт.;6 164,00 руб.;шт.
;КОМ 555-4202010  (коробка отбора мощности) без НШ ЗИЛ AM-16-003;2,000;Ф4262;AM-16-003;АВТОМАГНАТ;6 153,00 руб.;шт.;5 750,00 руб.;шт.
;КОМ 6505-4202010  (коробка отбора мощности) КРАЗ AM-16-004;2,000;Ф4261;AM-16-004;АВТОМАГНАТ;8 623,00 руб.;шт.;8 058,00 руб.;шт.
;"Компрессор для накачки шин  ""НОВИЧОК - 10"" 12V 18 л/мин.(Пластиковый корпус) БАК.99159";1,000;Ф4596;БАК.99159;БелАК;660,00 руб.;шт.;616,00 руб.;шт.
;"Компрессор для накачки шин  ""НОВИЧОК - 20"" 12V 42 л/мин. (Комплектация: компрессор, сумка, БАК.99150";3,000;Ф4597;БАК.99150;БелАК;1 335,00 руб.;шт.;1 247,00 руб.;шт.
;"Компрессор для накачки шин ""АКВИЛОН - 10""12V 22 л/мин. БАК.99172 (Пластиковый корпус) БелАК";;Ф5870;БАК.99172;БелАК;824,00 руб.;шт.;770,00 руб.;шт.
